,gene,rep1,rep2,rep3,consist_num,Final_Cluster
329,A_Gene93,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
330,B_Gene271,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
331,A_Gene370,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,DTW-K1-001-DPGP012,1,
332,B_Gene93,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
333,B_Gene288,DTW-K1-001-DPGP016,DTW-K1-001-DPGP015,DTW-K1-001-DPGP002,1,
334,A_Gene72,DTW-K1-001-DPGP001,DTW-K1-001-DPGP015,DTW-K1-001-DPGP019,1,
335,B_Gene399,DTW-K1-001-DPGP017,DTW-K1-001-DPGP005,DTW-K1-001-DPGP020,1,
336,B_Gene220,DTW-K1-001-DPGP014,DTW-K1-001-DPGP007,DTW-K1-001-DPGP007,2,DTW-K1-001-DPGP007
337,A_Gene376,DTW-K1-001-DPGP016,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,2,DTW-K1-001-DPGP016
338,B_Gene491,DTW-K1-001-DPGP010,DTW-K1-001-DPGP019,DTW-K1-001-DPGP009,1,
339,A_Gene320,DTW-K1-001-DPGP001,DTW-K1-001-DPGP011,DTW-K1-001-DPGP016,1,
340,A_Gene285,DTW-K1-001-DPGP009,DTW-K1-001-DPGP006,DTW-K1-001-DPGP004,1,
341,B_Gene38,DTW-K1-001-DPGP006,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,1,
342,B_Gene498,DTW-K1-001-DPGP010,DTW-K1-001-DPGP011,DTW-K1-001-DPGP001,1,
343,A_Gene154,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
344,A_Gene321,DTW-K1-001-DPGP015,DTW-K1-001-DPGP009,DTW-K1-001-DPGP004,1,
345,A_Gene500,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
346,A_Gene252,DTW-K1-001-DPGP014,DTW-K1-001-DPGP019,DTW-K1-001-DPGP007,1,
347,B_Gene156,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
348,B_Gene340,DTW-K1-001-DPGP018,DTW-K1-001-DPGP012,DTW-K1-001-DPGP014,1,
349,A_Gene166,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
350,A_Gene242,DTW-K1-001-DPGP006,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
351,A_Gene281,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP008,2,DTW-K1-001-DPGP006
352,A_Gene352,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
353,A_Gene161,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP018,2,DTW-K1-001-DPGP001
